Country Name,Country Code,Region,Income_Group
Palau,PLW,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Papua Nueva Guinea,PNG,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Polonia,POL,Sin Asignar,Ingreso alto
previa al dividendo demográfico,PRE,Sin Asignar,Agregados
Puerto Rico,PRI,Sin Asignar,Ingreso alto
"Corea, República Popular Democrática de",PRK,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso bajo
Portugal,PRT,Sin Asignar,Ingreso alto
Paraguay,PRY,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Ribera Occidental y Gaza,PSE,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Estados pequeos de las Islas del Pacfico,PSS,Sin Asignar,Agregados
posterior al dividendo demográfico,PST,Sin Asignar,Agregados
Polinesia Francesa,PYF,Sin Asignar,Ingreso alto
Qatar,QAT,Sin Asignar,Ingreso alto
Rumania,ROU,Sin Asignar,Ingreso alto
Federación de Rusia,RUS,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Rwanda,RWA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Asia meridional,SAS,Sin Asignar,Agregados
Arabia Saudita,SAU,Sin Asignar,Ingreso alto
Sudán,SDN,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Senegal,SEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Singapur,SGP,Sin Asignar,Ingreso alto
Islas Salomón,SLB,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Sierra Leona,SLE,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
El Salvador,SLV,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
San Marino,SMR,Sin Asignar,Ingreso alto
Somalia,SOM,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Serbia,SRB,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
África al sur del Sahara (excluido altos ingresos),SSA,Sin Asignar,Agregados
Sudán del Sur,SSD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
África al sur del Sahara,SSF,Sin Asignar,Agregados
Pequeños Estados,SST,Sin Asignar,Agregados
Santo Tomé y Príncipe,STP,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Suriname,SUR,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
República Eslovaca,SVK,Sin Asignar,Ingreso alto
Eslovenia,SVN,Sin Asignar,Ingreso alto
Suecia,SWE,Sin Asignar,Ingreso alto
Eswatini,SWZ,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Sint Maarten (Dutch part),SXM,Sin Asignar,Ingreso alto
Seychelles,SYC,Sin Asignar,Ingreso alto
República Árabe Siria,SYR,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso bajo
Islas Turcas y Caicos,TCA,Sin Asignar,Ingreso alto
Chad,TCD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Asia oriental y el Pacífico (BIRF y la AIF),TEA,Sin Asignar,Agregados
Europa y Asia central (BIRF y la AIF),TEC,Sin Asignar,Agregados
Togo,TGO,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Tailandia,THA,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Tayikistán,TJK,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Turkmenistán,TKM,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
América Latina y el Caribe (BIRF y la AIF),TLA,Sin Asignar,Agregados
Timor-Leste,TLS,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Oriente Medio y Norte de África (BIRF y la AIF),TMN,Sin Asignar,Agregados
